date,code,name,store_name,value
2023-01-14,7,銘店,inada,"1,600"
2023-01-14,7,銘店,otofuke,"11,550"
2023-01-14,7,銘店,ekimae,"245,524"
2023-01-14,8,米,inada,"64,754"
2023-01-14,8,米,otofuke,"74,825"
2023-01-14,8,米,ekimae,"73,187"
2023-01-14,55,タバコ,inada,"31,062"
2023-01-14,55,タバコ,otofuke,"32,810"
2023-01-14,55,タバコ,ekimae,"69,354"
2023-01-14,74,飲料,inada,"138,499"
2023-01-14,74,飲料,otofuke,"138,626"
2023-01-14,74,飲料,ekimae,"290,994"
2023-01-14,9,酒類,inada,"111,170"
2023-01-14,9,酒類,otofuke,"132,363"
2023-01-14,9,酒類,ekimae,"300,082"
2023-01-14,273,ワイン,inada,"10,943"
2023-01-14,273,ワイン,otofuke,"18,967"
2023-01-14,273,ワイン,ekimae,"74,692"
2023-01-14,274,ビール類,inada,"152,468"
2023-01-14,274,ビール類,otofuke,"122,051"
2023-01-14,274,ビール類,ekimae,"203,244"
2023-01-15,1,菓　子,inada,"227,931"
2023-01-15,1,菓　子,otofuke,"274,675"
2023-01-15,1,菓　子,ekimae,"572,599"
2023-01-15,2,嗜好品,inada,"122,532"
2023-01-15,2,嗜好品,otofuke,"113,328"
2023-01-15,2,嗜好品,ekimae,"168,797"
2023-01-15,3,調味料,inada,"172,679"
2023-01-15,3,調味料,otofuke,"243,900"
2023-01-15,3,調味料,ekimae,"274,331"
2023-01-15,4,調理素材,inada,"23,388"
2023-01-15,4,調理素材,otofuke,"33,526"
2023-01-15,4,調理素材,ekimae,"49,659"
2023-01-15,5,クイックフーズ,inada,"215,570"
2023-01-15,5,クイックフーズ,otofuke,"235,171"
2023-01-15,5,クイックフーズ,ekimae,"278,842"
2023-01-15,7,銘店,inada,"1,800"
2023-01-15,7,銘店,otofuke,"13,096"
2023-01-15,7,銘店,ekimae,"123,402"
2023-01-15,8,米,inada,"124,007"
2023-01-15,8,米,otofuke,"88,607"
2023-01-15,8,米,ekimae,"90,717"
2023-01-15,55,タバコ,inada,"55,544"
2023-01-15,55,タバコ,otofuke,"49,045"
2023-01-15,55,タバコ,ekimae,"64,464"
2023-01-15,74,飲料,inada,"169,281"
2023-01-15,74,飲料,otofuke,"237,098"
2023-01-15,74,飲料,ekimae,"326,408"
2023-01-15,9,酒類,inada,"119,672"
2023-01-15,9,酒類,otofuke,"129,015"
2023-01-15,9,酒類,ekimae,"284,374"
2023-01-15,273,ワイン,inada,"17,649"
2023-01-15,273,ワイン,otofuke,"24,724"
2023-01-15,273,ワイン,ekimae,"136,739"
2023-01-15,274,ビール類,inada,"144,773"
2023-01-15,274,ビール類,otofuke,"162,576"
